Name,Address,Category,Rating,Reviews,PlaceID,Lat,Lng
"Little Mama’s Italian","9825 Sandy Rock Pl, Charlotte, NC 28277, USA","restaurant",4.6,773,ChIJScJKpy0nVIgRnsNxR64wDRw,35.0528498,-80.7737116
"Aroma Indian Grill & Bar","9648 Red Stone Dr, Indian Land, SC 29707, USA","restaurant",4.2,721,ChIJba2RB1mDVogRL8ozufEqleQ,34.999169099999996,-80.8532527
"QuikTrip","10910 Golf Links Dr, Charlotte, NC 28277, USA","restaurant",4,90,ChIJ58sseswnVIgRdaucIxtmULc,35.0545391,-80.76905219999999
"131 MAIN Restaurant","9886 Rea Rd, Charlotte, NC 28277, USA","restaurant",4.6,2023,ChIJ2ZixZQIoVIgRha85YG8vXqc,35.034089,-80.808956
"Chick-fil-A","6390 Weddington Rd, Matthews, NC 28104, USA","restaurant",4.5,1532,ChIJSVbZaxcvVIgRwCKCkoPucU4,35.000411,-80.6950541
"Chick-fil-A","10032 Charlotte Hwy, Indian Land, SC 29707, USA","restaurant",4.4,1838,ChIJ27Bh1-KCVogRixQJZad5FmQ,35.0103516,-80.85215989999999
"Shake Shack Blakeney","9824 Rea Rd A, Charlotte, NC 28277, USA","restaurant",4.2,872,ChIJEw31lsUpVIgRoCiJdd1vjh8,35.03433,-80.80637
"Duckworth's Grill & Taphouse","9805-D Sandy Rock Pl, Charlotte, NC 28277, USA","restaurant",4.2,1289,ChIJb5WG_yAnVIgRjwypJHVKyHs,35.0539704,-80.7734576
"McDonald's","9710 Rea Rd, Charlotte, NC 28277, USA","restaurant",3,976,ChIJtT9KQAEoVIgRAW2QH3W3kaY,35.037213099999995,-80.8057462
"Burtons Grill & Bar","9816 Rea Rd, Charlotte, NC 28277, USA","restaurant",4.4,811,ChIJUb5muispVIgRYIhsVrS6hDA,35.035491199999996,-80.80610879999999
"Big View Diner","16637 Lancaster Hwy, Charlotte, NC 28277, USA","restaurant",4.2,3028,ChIJty9JWOeCVogRNHmdFIlhxoI,35.022433,-80.8484598
"Chuy's","7314 Waverly Walk Ave E-8, Charlotte, NC 28277, USA","restaurant",4.1,1937,ChIJb1U-4swnVIgRJvyqv3qMU3s,35.0519211,-80.76762509999999
"Whataburger","8576 Charlotte Hwy, Indian Land, SC 29707, USA","restaurant",3.8,361,ChIJEwqBeACDVogRNWSOj7uBR6U,34.9614359,-80.8527539
"Aahaar25 Indian Vegetarian Restaurant","9824 Rea Rd B, Charlotte, NC 28277, USA","restaurant",4.5,567,ChIJZ62mxsEpVIgR3Ht8gXo0Kv8,35.03433,-80.80637
"QuikTrip","9565 Charlotte Hwy, Indian Land, SC 29707, USA","restaurant",3.7,77,ChIJr4lEo6yDVogRGdLMxp9ifEI,34.995326899999995,-80.8556998
"Jeff's Bagel Run","9941 Rea Rd C, Charlotte, NC 28277, USA","restaurant",4.5,284,ChIJbxjth-8pVIgRpgyPoiuAqD0,35.0341161,-80.80483810000001
