Name,Address,City,State,Zip,Phone,Website,Rating,Reviews,PlaceID,Lat,Lng
Flourish Family & General Dentistry Indian Land,9456 Charlotte Hwy #202,Indian,SC,29707,(803) 674-4944,https://www.flourishdentistry.com/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=Website_URL,,366,ChIJQU9_Sy2DVogRvO9leMMPhxo,34.9910049,-80.8528366
Goodyear Auto Service,8105 Kensington Dr,Waxhaw,NC,28173,(704) 843-9762,https://www.goodyear.com/en-us/goodyearautoservice,,204,ChIJKRepgHspVIgRLGfM1xwHIs0,34.9549028,-80.7571595
Renew Med Spa,408 E South Main St,Waxhaw,NC,28173,(704) 843-0226,https://renewmedspanc.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,,286,ChIJ2zsj4lgrVIgR1qlyJvfzrCU,34.9239254,-80.7407346
Queens South Waxhaw,1201 N Broome St,Waxhaw,NC,28173,(704) 256-4626,https://www.queenssouth.com/,,452,ChIJC6r9c0ErVIgRjwy9rq9eeKU,34.9338732,-80.7505267
Chase,5345 Crossridge Blvd,Indian,SC,29707,,,,2,ChIJzSxJdwCDVogRbbElJ1lRpog,34.9618801,-80.85316329999999
The COLORbar Hair Salon,3905 Providence Rd S Ste B,Waxhaw,NC,28173,(704) 843-4000,https://thecolorbarhairsalonwaxhaw.com/,,766,ChIJNcRawsQrVIgRyv-GrfM3CtA,34.9386813,-80.7508015
Magnolia Medspa - Waxhaw Location,1601 Providence Rd S #430,Waxhaw,NC,28173,(704) 878-1120,https://www.medspamagnolia.com/,,21,ChIJY67equopVIgReQ8qr08xhJs,34.9885494,-80.7730758
Stewart's Village Gallery,116 McDonald St,Waxhaw,NC,28173,(704) 843-5638,http://stewartsvillagegallery.com/,,56,ChIJX2RRw78rVIgRbpbVnlJjZlw,34.9259637,-80.7445472
Atrium Health Primary Care Waxhaw Family Medicine,2700 Providence Rd S #300,Waxhaw,NC,28173,(704) 243-2254,https://atriumhealth.org/locations/detail/atrium-health-primary-care-waxhaw-family-medicine?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,,313,ChIJD6lSBcArVIgRjFJ4pSogpuw,34.9640884,-80.764183
Barre For Life,136 Waxhaw Pkwy Suite B,Waxhaw,NC,28173,(704) 256-4259,https://barre-for-life.com/,,70,ChIJmbRKwXUrVIgRNYI3OhIQolE,34.9331504,-80.75218699999999
Rusty’s Ranch,5101 Goldmine Rd,Monroe,NC,28110,(704) 980-2990,http://rustysranch.com/,,31,ChIJexwD3KEpVIgRLBEn_4W6VaQ,35.0173432,-80.6579007
Kohl's,601 Sherman Pl,Waxhaw,NC,28173,(704) 841-0201,https://www.kohls.com/stores/nc/waxhaw-1432.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,,1270,ChIJGdV9D5wuVIgR6ONWHGtNqr0,35.016923,-80.8010406
MinuteClinic at CVS,1142 N Broome St,Waxhaw,NC,28173,(866) 389-2727,https://www.cvs.com/minuteclinic/clinic-locator/nc/waxhaw/5341.html?WT.mc_id=LS_mc_google_carenav_5341,,32,ChIJd5rC58MrVIgRLDnMiFb8-bw,34.9339267,-80.7479534
Studio U Salon & Spa,3909 Providence Rd S,Waxhaw,NC,28173,(704) 243-7880,http://www.studiouinc.com/,,49,ChIJSytBv8QrVIgRawZ9Af3I7xY,34.9375563,-80.75046429999999
Autobell Car Wash,1610 Providence Rd S,Waxhaw,NC,28173,(704) 843-8474,https://www.autobell.com/locations/north-carolina/charlotte-suburbs/1610-providence-rd-s?utm_source=google+my+business&utm_medium=organic&utm_campaign=1610+providence+rd+s&y_source=1_MTUwNDA4MjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,402,ChIJfxr_Va4pVIgRv6mVcoro6WI,34.98721,-80.7744912
Atrium Health Union,600 Hospital Dr,Monroe,NC,28112,(980) 993-3100,https://atriumhealth.org/locations/detail/atrium-health-union?utm_source=GMB&utm_medium=Organic&utm_campaign=GCR,,415,ChIJW55Qz982VIgRYVQOIHoH_ss,34.9756436,-80.5225735
Streamline Auto Care,4417 Helms Rd,Waxhaw,NC,28173,(980) 722-3015,https://streamlineautocare.com/?utm_campaign=gmb,,45,ChIJXdqiqpUrVIgR-kPddj8Khnc,34.9233258,-80.7630944
Wells Fargo Bank,9808 Rea Rd,Charlotte,NC,28277,(704) 541-2200,https://www.wellsfargo.com/locator/bank/9808__REA__RD_CHARLOTTE_NC_28277/?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=AC11244,,51,ChIJh3Nd5AMoVIgR92SLKUJzsHU,35.0356232,-80.80539550000002
