name,address,phone,rating,reviews,place_id
Waxhaw Candle Company,113 W South Main St  Waxhaw  NC 28173  USA,(704) 681-5084,4.8,206,
Apex Business Consulting LLC,318 E South Main St Suite D  Waxhaw  NC 28173  USA,(704) 681-1006,5,58,
PostalAnnex,3919 Providence Rd S Ste B  Waxhaw  NC 28173  USA,(704) 243-2643,4.3,89,
Virtuoso Breadworks,205 Salem St  Waxhaw  NC 28173  USA,(704) 256-3753,4.8,373,
Middle James Brewing Company - Waxhaw,115 E North Main St  Waxhaw  NC 28173  USA,(704) 243-0050,4.4,55,
Sospeso Coffee Roasters,107 W South Main St  Waxhaw  NC 28173  USA,(828) 329-2396,4.7,42,
Second Chance Boutique by Turning Point,1201 N Broome St  Waxhaw  NC 28173  USA,(704) 288-1898,4.2,62,
Provisions Waxhaw,107 W South Main St  Waxhaw  NC 28173  USA,(704) 256-3642,4.4,417,
Mary O'Neill's Irish Pub,116 W North Main St  Waxhaw  NC 28173  USA,(704) 256-7800,4.7,1824,
Verizon Business Services,1100 N Broome St  Waxhaw  NC 28173  USA,(704) 243-8411,5,1,
Elite Design & Print Company,3901 Providence Rd S suite c  Waxhaw  NC 28173  USA,(704) 843-0500,5,26,
Floor Decor & More,203 N Broome St suite b  Waxhaw  NC 28173  USA,(704) 256-9296,4.9,39,
FD Cigar Company,108 E South Main St Suite B  Waxhaw  NC 28173  USA,(704) 256-3671,4.9,61,
emco group waxhaw nc,101 S Church St  Marvin  NC 28173  USA,(704) 900-0910,5,1,
Refresh Gift Shop,121 S Broome St  Waxhaw  NC 28173  USA,(704) 779-6502,4.8,9,
Great Wagon Road Distillery Waxhaw,122 W North Main St  Waxhaw  NC 28173  USA,(704) 469-0695,4.3,60,
Rehobeth Business Park,208 - 216 Rehobeth Rd  Waxhaw  NC 28173  USA,(704) 313-9323,5,1,
Waxhaw General Store,111 W South Main St  Waxhaw  NC 28173  USA,(704) 839-4975,4.1,29,
Bead Merchants,102 E South Main St #1  Waxhaw  NC 28173  USA,(704) 843-5509,4.6,41,
Top Flite Insurance Agency,105 Waxhaw Professional Park Dr e400  Waxhaw  NC 28173  USA,(704) 243-2100,5,151,
